time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2023-01-01,-21.7,-24.9,-18.1,,,104.0,5.3,,1040.5,,krasnoyarsk
2023-01-02,-15.5,-18.4,-12.4,,,196.0,6.8,,1036.6,,krasnoyarsk
2023-01-03,-17.5,-23.4,-13.6,,,195.0,5.9,,1028.9,,krasnoyarsk
2023-01-04,-20.3,-26.6,-13.3,,,159.0,5.8,,1017.8,,krasnoyarsk
2023-01-05,-8.7,-14.0,-4.9,,,186.0,13.3,,1014.4,,krasnoyarsk
2023-01-06,-5.1,-10.1,-3.3,,,243.0,10.3,,1008.8,,krasnoyarsk
2023-01-07,-13.9,-15.7,-10.9,,,224.0,9.0,,1020.8,,krasnoyarsk
2023-01-08,-9.2,-15.4,-3.9,,,189.0,11.0,,1015.8,,krasnoyarsk
2023-01-09,-3.7,-14.0,0.1,,,216.0,21.3,,1008.3,,krasnoyarsk
2023-01-10,-21.7,-28.4,-14.9,,,244.0,13.0,,1022.1,,krasnoyarsk
2023-01-11,-29.9,-31.3,-27.5,,,238.0,5.9,,1031.6,,krasnoyarsk
2023-01-12,-30.6,-34.2,-25.4,,,209.0,8.0,,1045.4,,krasnoyarsk
2023-01-13,-22.1,-29.7,-15.3,,,204.0,16.8,,1038.4,,krasnoyarsk
2023-01-14,-14.4,-16.7,-11.0,,,216.0,20.6,,1033.1,,krasnoyarsk
2023-01-15,-10.7,-11.4,-10.2,,,225.0,20.5,,1021.9,,krasnoyarsk
2023-01-16,-11.1,-12.5,-8.9,,,220.0,18.6,,1027.6,,krasnoyarsk
2023-01-17,-10.2,-16.1,-8.1,,,243.0,21.4,,1019.1,,krasnoyarsk
2023-01-18,-27.4,-35.5,-17.8,,,17.0,4.5,,1037.9,,krasnoyarsk
2023-01-19,-22.0,-32.4,-14.4,,,127.0,5.1,,1030.1,,krasnoyarsk
2023-01-20,-19.4,-28.8,-15.7,,,297.0,7.8,,1029.0,,krasnoyarsk
2023-01-21,-37.2,-43.2,-30.3,,,35.0,4.7,,1049.8,,krasnoyarsk
2023-01-22,-39.4,-45.2,-32.1,,,122.0,3.5,,1058.5,,krasnoyarsk
2023-01-23,-24.0,-34.7,-16.5,,,170.0,10.9,,1034.6,,krasnoyarsk
2023-01-24,-14.1,-16.9,-10.7,,,208.0,12.1,,1022.3,,krasnoyarsk
2023-01-25,-13.2,-20.8,-9.5,,,217.0,8.5,,1025.1,,krasnoyarsk
2023-01-26,-14.1,-22.1,-7.1,,,209.0,16.9,,1027.2,,krasnoyarsk
2023-01-27,-5.9,-7.1,-4.9,,,219.0,23.6,,1019.4,,krasnoyarsk
2023-01-28,-6.7,-8.5,-4.7,,,219.0,17.5,,1020.4,,krasnoyarsk
2023-01-29,-5.7,-7.4,-4.3,,,222.0,17.6,,1014.3,,krasnoyarsk
2023-01-30,-9.7,-12.1,-7.9,,,232.0,16.4,,1021.5,,krasnoyarsk
2023-01-31,-14.8,-18.8,-10.4,,,156.0,3.8,,1032.8,,krasnoyarsk
2023-02-01,-17.1,-20.3,-11.5,,,225.0,3.0,,1032.4,,krasnoyarsk
2023-02-02,-19.8,-23.2,-14.9,,,233.0,2.3,,1034.4,,krasnoyarsk
2023-02-03,-20.2,-24.1,-12.7,,,216.0,2.9,,1029.0,,krasnoyarsk
2023-02-04,-19.6,-23.7,-13.1,,,124.0,2.1,,1028.4,,krasnoyarsk
2023-02-05,-19.8,-23.1,-14.3,,,216.0,2.2,,1031.8,,krasnoyarsk
2023-02-06,-20.2,-24.0,-13.8,,,190.0,2.4,,1032.9,,krasnoyarsk
2023-02-07,-17.9,-23.6,-10.0,,,156.0,4.2,,1028.9,,krasnoyarsk
2023-02-08,-11.7,-13.8,-7.4,,,220.0,7.3,,1023.7,,krasnoyarsk
2023-02-09,-16.8,-21.5,-13.7,,,302.0,3.2,,1020.2,,krasnoyarsk
2023-02-10,-25.0,-29.2,-18.1,,,10.0,2.1,,1025.1,,krasnoyarsk
2023-02-11,-25.8,-30.8,-17.6,,,189.0,2.3,,1039.4,,krasnoyarsk
2023-02-12,-23.2,-28.0,-13.8,,,145.0,3.6,,1043.9,,krasnoyarsk
2023-02-13,-21.3,-27.6,-14.2,,,111.0,3.5,,1036.7,,krasnoyarsk
2023-02-14,-15.2,-16.7,-11.8,,,234.0,9.8,,1035.6,,krasnoyarsk
2023-02-15,-19.4,-25.0,-13.7,,,209.0,3.1,,1037.4,,krasnoyarsk
2023-02-16,-22.3,-28.2,-15.2,,,196.0,2.8,,1034.8,,krasnoyarsk
2023-02-17,-11.9,-19.7,-5.7,,,232.0,20.1,,1031.7,,krasnoyarsk
2023-02-18,-6.8,-10.0,-4.7,,,220.0,13.1,,1032.2,,krasnoyarsk
2023-02-19,-8.5,-12.4,-2.7,,,156.0,3.8,,1030.2,,krasnoyarsk
2023-02-20,-8.9,-12.0,-4.6,,,211.0,4.6,,1030.3,,krasnoyarsk
2023-02-21,-10.9,-15.1,-4.7,,,124.0,3.5,,1028.7,,krasnoyarsk
2023-02-22,-11.6,-16.1,-5.0,,,80.0,4.8,,1030.3,,krasnoyarsk
2023-02-23,-11.8,-18.6,-3.9,,,80.0,6.3,,1027.5,,krasnoyarsk
2023-02-24,-4.6,-12.9,4.8,,,167.0,8.7,,1020.8,,krasnoyarsk
2023-02-25,-1.0,-5.1,1.8,,,236.0,13.3,,1017.4,,krasnoyarsk
2023-02-26,-8.1,-9.9,-5.7,,,242.0,14.2,,1032.5,,krasnoyarsk
2023-02-27,-9.0,-11.8,-5.8,,,218.0,13.9,,1035.5,,krasnoyarsk
2023-02-28,-4.9,-12.1,1.7,,,191.0,14.5,,1028.3,,krasnoyarsk
2023-03-01,1.2,-0.1,3.1,,,215.0,19.3,,1014.5,,krasnoyarsk
2023-03-02,4.6,1.1,9.3,,,207.0,18.9,,1010.5,,krasnoyarsk
2023-03-03,4.0,1.4,5.7,,,208.0,12.8,,1006.2,,krasnoyarsk
2023-03-04,-3.6,-7.4,1.2,,,240.0,17.5,,1014.4,,krasnoyarsk
2023-03-05,-6.6,-10.3,-1.9,,,204.0,11.3,,1024.0,,krasnoyarsk
2023-03-06,-6.9,-11.1,-2.2,,,158.0,6.5,,1013.8,,krasnoyarsk
2023-03-07,-1.9,-5.5,2.1,,,214.0,17.9,,1011.5,,krasnoyarsk
2023-03-08,-2.3,-6.5,3.4,,,183.0,15.6,,1001.2,,krasnoyarsk
2023-03-09,-8.6,-16.8,-3.2,,,258.0,18.1,,1023.2,,krasnoyarsk
2023-03-10,-16.0,-25.0,-8.5,,,179.0,5.5,,1042.6,,krasnoyarsk
2023-03-11,-3.3,-10.8,5.5,,,182.0,12.1,,1029.1,,krasnoyarsk
2023-03-12,0.4,-2.9,4.2,,,215.0,17.6,,1009.1,,krasnoyarsk
2023-03-13,-4.3,-8.5,-0.3,,,250.0,20.1,,1029.5,,krasnoyarsk
2023-03-14,-2.4,-4.1,0.9,,,231.0,12.2,,1031.5,,krasnoyarsk
2023-03-15,-2.5,-8.1,3.3,,,110.0,5.9,,1028.3,,krasnoyarsk
